param_MLP__max_iter,test acc,train acc
1,0.5534414578839666,0.5939948590897599
2,0.5717106354737017,0.5994983042395333
4,0.5667192080084066,0.5916867567981872
8,0.5924686134616449,0.6136575157812401
16,0.5738924838227975,0.6054224820247069
32,0.5659324705491953,0.6151236588684184
64,0.5754175654001439,0.6202388598649392
128,0.5774556163928987,0.6064713253149635
256,0.5793443393617609,0.6203553170580732
512,0.5784138045462087,0.6210435147346441
1024,0.5811487196504618,0.6099287246414802
2000,0.5749446933244843,0.6104111248860958
2200,0.5822271998230186,0.6227446220325057
2400,0.5778690337923786,0.6037595681420043
2600,0.5752696200431392,0.6210357599772178
2800,0.5734209944140257,0.6137199613358661
3000,0.573911841159228,0.6137223198687777
